Id,Genre,Artist,Song,Listeners,URL
2019-04-16 22:48:56.486930_29,classical,Coldplay,Postcards from Far Away,201111,https://www.last.fm/music/Coldplay/_/Postcards+from+Far+Away
2019-04-16 22:48:56.656554_30,classical,Wolfgang Amadeus Mozart,Eine kleine Nachtmusik,199066,https://www.last.fm/music/Wolfgang+Amadeus+Mozart/_/Eine+kleine+Nachtmusik
2019-04-16 22:48:56.959778_31,classical,Max Richter,On the Nature of Daylight,195051,https://www.last.fm/music/Max+Richter/_/On+the+Nature+of+Daylight
2019-04-16 22:48:57.265403_32,classical,Ludovico Einaudi,Le Onde,194835,https://www.last.fm/music/Ludovico+Einaudi/_/Le+Onde
2019-04-16 22:48:57.433506_33,classical,Johann Sebastian Bach,Air on a G String,186796,https://www.last.fm/music/Johann+Sebastian+Bach/_/Air+on+a+G+String
2019-04-16 22:48:57.585160_34,classical,Max Richter,Vladimir's Blues,186210,https://www.last.fm/music/Max+Richter/_/Vladimir%27s+Blues
2019-04-16 22:48:57.739002_35,classical,Dua Lipa,Be The One,185703,https://www.last.fm/music/Dua+Lipa/_/Be+The+One
2019-04-16 22:48:57.903732_36,classical,George Gershwin,Rhapsody in Blue,183356,https://www.last.fm/music/George+Gershwin/_/Rhapsody+in+Blue
2019-04-16 22:48:58.055124_37,classical,Max Richter,Written on the Sky,181705,https://www.last.fm/music/Max+Richter/_/Written+on+the+Sky
2019-04-16 22:48:58.220457_38,classical,Edvard Grieg,In the Hall of the Mountain King,177477,https://www.last.fm/music/Edvard+Grieg/_/In+the+Hall+of+the+Mountain+King
2019-04-16 22:48:58.395900_39,classical,Philip Glass,Opening,174197,https://www.last.fm/music/Philip+Glass/_/Opening
2019-04-16 22:48:58.628915_40,classical,Jon Hopkins,Small Memory,173198,https://www.last.fm/music/Jon+Hopkins/_/Small+Memory
2019-04-16 22:48:58.793635_41,classical,Dua Lipa,Blow Your Mind (Mwah),169435,https://www.last.fm/music/Dua+Lipa/_/Blow+Your+Mind+(Mwah)
2019-04-16 22:48:58.943943_42,classical,Hans Zimmer,Now We Are Free,168587,https://www.last.fm/music/Hans+Zimmer/_/Now+We+Are+Free
2019-04-16 22:48:59.093893_43,classical,Ludovico Einaudi,Una Mattina,167441,https://www.last.fm/music/Ludovico+Einaudi/_/Una+Mattina
2019-04-16 22:48:59.317553_44,classical,Adiemus,Adiemus,166578,https://www.last.fm/music/Adiemus/_/Adiemus
2019-04-16 22:48:59.475128_45,classical,Ludovico Einaudi,I giorni,165933,https://www.last.fm/music/Ludovico+Einaudi/_/I+giorni
2019-04-16 22:48:59.716291_46,classical,Arvo Pärt,Spiegel im Spiegel,165363,https://www.last.fm/music/Arvo+P%C3%A4rt/_/Spiegel+im+Spiegel
2019-04-16 22:48:59.879971_47,classical,Johann Pachelbel,Canon in D Major,164264,https://www.last.fm/music/Johann+Pachelbel/_/Canon+in+D+Major
2019-04-16 22:49:00.100671_48,classical,Vampire Weekend,Young Lion,163445,https://www.last.fm/music/Vampire+Weekend/_/Young+Lion
2019-04-16 22:49:00.256925_49,classical,Apocalyptica,Enter Sandman,1114497,https://www.last.fm/music/Apocalyptica/_/Enter+Sandman
2019-04-16 22:49:00.547127_50,classical,Eluvium,Prelude for Time Feelers,162055,https://www.last.fm/music/Eluvium/_/Prelude+for+Time+Feelers
2019-04-16 22:49:01.080438_1,rock,Nirvana,Smells Like Teen Spirit,2066060,https://www.last.fm/music/Nirvana/_/Smells+Like+Teen+Spirit
2019-04-16 22:49:01.229779_2,rock,The Killers,Mr. Brightside,1981103,https://www.last.fm/music/The+Killers/_/Mr.+Brightside
2019-04-16 22:49:01.379131_3,rock,Oasis,Wonderwall,1878153,https://www.last.fm/music/Oasis/_/Wonderwall
2019-04-16 22:49:01.543682_4,rock,Nirvana,Come as You Are,1821802,https://www.last.fm/music/Nirvana/_/Come+as+You+Are
2019-04-16 22:49:01.776737_5,rock,Franz Ferdinand,Take Me Out,1673872,https://www.last.fm/music/Franz+Ferdinand/_/Take+Me+Out
2019-04-16 22:49:01.923430_6,rock,The Killers,Somebody Told Me,1654089,https://www.last.fm/music/The+Killers/_/Somebody+Told+Me
2019-04-16 22:49:02.071377_7,rock,Radiohead,Creep,1637968,https://www.last.fm/music/Radiohead/_/Creep
2019-04-16 22:49:02.309549_8,rock,Coldplay,Viva la Vida,1637523,https://www.last.fm/music/Coldplay/_/Viva+la+Vida
2019-04-16 22:49:02.598202_9,rock,Radiohead,Karma Police,1629065,https://www.last.fm/music/Radiohead/_/Karma+Police
2019-04-16 22:49:02.900819_10,rock,Coldplay,Clocks,1615836,https://www.last.fm/music/Coldplay/_/Clocks
2019-04-16 22:49:03.068385_11,rock,Red Hot Chili Peppers,Californication,1609029,https://www.last.fm/music/Red+Hot+Chili+Peppers/_/Californication
2019-04-16 22:49:03.219785_12,rock,Coldplay,The Scientist,1607673,https://www.last.fm/music/Coldplay/_/The+Scientist
2019-04-16 22:49:03.446217_13,rock,Coldplay,Yellow,1573056,https://www.last.fm/music/Coldplay/_/Yellow
2019-04-16 22:49:03.675508_14,rock,Red Hot Chili Peppers,Under the Bridge,1536919,https://www.last.fm/music/Red+Hot+Chili+Peppers/_/Under+the+Bridge
2019-04-16 22:49:03.843151_15,rock,The White Stripes,Seven Nation Army,1511001,https://www.last.fm/music/The+White+Stripes/_/Seven+Nation+Army
2019-04-16 22:49:03.995145_16,rock,System of a Down,Chop Suey!,1503958,https://www.last.fm/music/System+of+a+Down/_/Chop+Suey%21
2019-04-16 22:49:04.165727_17,rock,Coldplay,Fix You,1493265,https://www.last.fm/music/Coldplay/_/Fix+You
2019-04-16 22:49:04.327077_18,rock,Gorillaz,Feel Good Inc.,1493044,https://www.last.fm/music/Gorillaz/_/Feel+Good+Inc.
2019-04-16 22:49:04.554275_19,rock,Kings of Leon,Sex on Fire,1484123,https://www.last.fm/music/Kings+of+Leon/_/Sex+on+Fire
2019-04-16 22:49:04.721993_20,rock,Blur,Song 2,1452229,https://www.last.fm/music/Blur/_/Song+2
2019-04-16 22:49:04.879297_21,rock,Nirvana,Lithium,1449236,https://www.last.fm/music/Nirvana/_/Lithium
2019-04-16 22:49:05.083466_22,rock,Linkin Park,In the End,1410919,https://www.last.fm/music/Linkin+Park/_/In+the+End
2019-04-16 22:49:05.389159_23,rock,Snow Patrol,Chasing Cars,1386242,https://www.last.fm/music/Snow+Patrol/_/Chasing+Cars
2019-04-16 22:49:05.538921_24,rock,Guns N' Roses,Sweet Child o' Mine,10567,https://www.last.fm/music/Guns+N%27+Roses/_/Sweet+Child+o%27+Mine
2019-04-16 22:49:05.701021_25,rock,Red Hot Chili Peppers,Scar Tissue,1377557,https://www.last.fm/music/Red+Hot+Chili+Peppers/_/Scar+Tissue
2019-04-16 22:49:05.868203_26,rock,Queen,Bohemian Rhapsody,1371704,https://www.last.fm/music/Queen/_/Bohemian+Rhapsody
2019-04-16 22:49:06.094849_27,rock,Red Hot Chili Peppers,Otherside,1367657,https://www.last.fm/music/Red+Hot+Chili+Peppers/_/Otherside
2019-04-16 22:49:06.256851_28,rock,The Killers,When You Were Young,1366959,https://www.last.fm/music/The+Killers/_/When+You+Were+Young
2019-04-16 22:49:06.556844_29,rock,Muse,Supermassive Black Hole,1363149,https://www.last.fm/music/Muse/_/Supermassive+Black+Hole
2019-04-16 22:49:06.713936_30,rock,Kings of Leon,Use Somebody,1359439,https://www.last.fm/music/Kings+of+Leon/_/Use+Somebody
2019-04-16 22:49:06.872510_31,rock,Muse,Starlight,1353016,https://www.last.fm/music/Muse/_/Starlight
2019-04-16 22:49:07.021711_32,rock,Radiohead,Paranoid Android,1341255,https://www.last.fm/music/Radiohead/_/Paranoid+Android
2019-04-16 22:49:07.320644_33,rock,Foo Fighters,Everlong,1323467,https://www.last.fm/music/Foo+Fighters/_/Everlong
2019-04-16 22:49:07.469665_34,rock,Goo Goo Dolls,Iris,1306919,https://www.last.fm/music/Goo+Goo+Dolls/_/Iris
2019-04-16 22:49:07.772058_35,rock,Radiohead,No Surprises,1305533,https://www.last.fm/music/Radiohead/_/No+Surprises
2019-04-16 22:49:08.095690_36,rock,Led Zeppelin,Stairway to Heaven,1296161,https://www.last.fm/music/Led+Zeppelin/_/Stairway+to+Heaven
2019-04-16 22:49:08.254103_37,rock,Linkin Park,Numb,1274345,https://www.last.fm/music/Linkin+Park/_/Numb
2019-04-16 22:49:08.418147_38,rock,Red Hot Chili Peppers,Dani California,1267212,https://www.last.fm/music/Red+Hot+Chili+Peppers/_/Dani+California
2019-04-16 22:49:08.582097_39,rock,The Cranberries,Zombie,1260949,https://www.last.fm/music/The+Cranberries/_/Zombie
2019-04-16 22:49:08.747538_40,rock,Arctic Monkeys,I Bet You Look Good on the Dancefloor,1251461,https://www.last.fm/music/Arctic+Monkeys/_/I+Bet+You+Look+Good+on+the+Dancefloor
2019-04-16 22:49:08.910105_41,rock,Guns N' Roses,Welcome to the Jungle,1249992,https://www.last.fm/music/Guns+N%27+Roses/_/Welcome+to+the+Jungle
2019-04-16 22:49:09.137284_42,rock,Gorillaz,Clint Eastwood,1234014,https://www.last.fm/music/Gorillaz/_/Clint+Eastwood
2019-04-16 22:49:09.309525_43,rock,The Rolling Stones,Paint It Black,1233629,https://www.last.fm/music/The+Rolling+Stones/_/Paint+It+Black
2019-04-16 22:49:09.462693_44,rock,The Killers,All These Things That I've Done,1229360,https://www.last.fm/music/The+Killers/_/All+These+Things+That+I%27ve+Done
2019-04-16 22:49:09.621765_45,rock,Muse,Time Is Running Out,1228516,https://www.last.fm/music/Muse/_/Time+Is+Running+Out
2019-04-16 22:49:09.768897_46,rock,Rage Against the Machine,Killing in the Name,1227767,https://www.last.fm/music/Rage+Against+the+Machine/_/Killing+in+the+Name
2019-04-16 22:49:09.931957_47,rock,Foo Fighters,The Pretender,1222789,https://www.last.fm/music/Foo+Fighters/_/The+Pretender
2019-04-16 22:49:10.088495_48,rock,The Strokes,Reptilia,1220795,https://www.last.fm/music/The+Strokes/_/Reptilia
2019-04-16 22:49:10.447460_49,rock,blink-182,All the Small Things,1202634,https://www.last.fm/music/blink-182/_/All+the+Small+Things
2019-04-16 22:49:10.677962_50,rock,R.E.M.,Losing My Religion,1198163,https://www.last.fm/music/R.E.M./_/Losing+My+Religion
2019-04-16 22:49:11.205750_1,jazz,Amy Winehouse,Rehab,1181382,https://www.last.fm/music/Amy+Winehouse/_/Rehab
2019-04-16 22:49:11.497515_2,jazz,Amy Winehouse,Back to Black,1162709,https://www.last.fm/music/Amy+Winehouse/_/Back+to+Black
2019-04-16 22:49:11.653560_3,jazz,Amy Winehouse,You Know I'm No Good,1041174,https://www.last.fm/music/Amy+Winehouse/_/You+Know+I%27m+No+Good
